residual_model,group_key,edge_rows,strength_min,strength_median,strength_mean,strength_max,residual_min,residual_median,residual_mean,residual_max,residual_abs_mean,residual_nonzero_count
fine_label_features,"abs_delta_pair=3,6|same_orientation=true|shares_any_index=true",4,0.2496419050598439,0.24964190505984393,0.24964190505984393,0.24964190505984396,-2.7755575615628914e-17,0.0,0.0,2.7755575615628914e-17,2.7755575615628914e-17,0
fine_label_features,"abs_delta_pair=4,4|same_orientation=false|shares_any_index=false",6,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0
fine_label_features,"abs_delta_pair=4,4|same_orientation=false|shares_any_index=true",3,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0
fine_label_features,"abs_delta_pair=4,4|same_orientation=true|shares_any_index=false",6,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0
fine_label_features,"abs_delta_pair=4,5|same_orientation=false|shares_any_index=false",4,0.019253805674400607,0.01925380567440064,0.01925380567440064,0.01925380567440067,-3.122502256758253e-17,0.0,0.0,3.122502256758253e-17,3.122502256758253e-17,0
fine_label_features,"abs_delta_pair=4,5|same_orientation=false|shares_any_index=true",8,0.019253805674400607,0.01925380567440064,0.01925380567440064,0.01925380567440067,-3.122502256758253e-17,0.0,0.0,3.122502256758253e-17,3.122502256758253e-17,0
fine_label_features,"abs_delta_pair=4,5|same_orientation=true|shares_any_index=false",4,0.019253805674400642,0.019253805674400645,0.019253805674400645,0.019253805674400652,-3.469446951953614e-18,1.734723475976807e-18,1.734723475976807e-18,6.938893903907228e-18,5.204170427930421e-18,0
fine_label_features,"abs_delta_pair=4,5|same_orientation=true|shares_any_index=true",8,0.019253805674400642,0.019253805674400645,0.019253805674400645,0.019253805674400652,-3.469446951953614e-18,1.734723475976807e-18,1.734723475976807e-18,6.938893903907228e-18,5.204170427930421e-18,0
fine_label_features,"abs_delta_pair=4,6|same_orientation=false|shares_any_index=false",2,0.08320353274661693,0.08320353274661696,0.08320353274661696,0.08320353274661697,-2.7755575615628914e-17,-6.938893903907228e-18,-6.938893903907228e-18,1.3877787807814457e-17,2.0816681711721685e-17,0
fine_label_features,"abs_delta_pair=4,6|same_orientation=false|shares_any_index=true",4,0.08320353274661693,0.08320353274661696,0.08320353274661696,0.08320353274661697,-2.7755575615628914e-17,-6.938893903907228e-18,-6.938893903907228e-18,1.3877787807814457e-17,2.0816681711721685e-17,0
fine_label_features,"abs_delta_pair=4,6|same_orientation=true|shares_any_index=false",2,0.08320353274661693,0.08320353274661693,0.08320353274661693,0.08320353274661693,0.0,0.0,0.0,0.0,0.0,0
fine_label_features,"abs_delta_pair=4,6|same_orientation=true|shares_any_index=true",4,0.08320353274661693,0.08320353274661693,0.08320353274661693,0.08320353274661693,0.0,0.0,0.0,0.0,0.0,0
fine_label_features,"abs_delta_pair=5,5|same_orientation=false|shares_any_index=false",2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0
fine_label_features,"abs_delta_pair=5,5|same_orientation=false|shares_any_index=true",2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0
fine_label_features,"abs_delta_pair=5,5|same_orientation=true|shares_any_index=false",2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0
fine_label_features,"abs_delta_pair=5,6|same_orientation=false|shares_any_index=true",4,0.006936140120339703,0.006936140120339718,0.006936140120339718,0.006936140120339733,-1.474514954580286e-17,4.336808689942018e-19,4.336808689942018e-19,1.5612511283791264e-17,1.5178830414797062e-17,0
fine_label_features,"abs_delta_pair=5,6|same_orientation=true|shares_any_index=true",4,0.006936140120339746,0.006936140120339746,0.006936140120339746,0.006936140120339746,0.0,0.0,0.0,0.0,0.0,0
fine_label_features,"abs_delta_pair=6,6|same_orientation=false|shares_any_index=true",1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0
