run_id,case_id,reference_mode,class_mode,top_k,branch_label_none,branch_label_quadratic,class_overlap_none_vs_quadratic,weighted_class_shift,identity_preserved_flag
config_m33_v0,P0__k0=-1.5__sk=0.5__t=2__nu=0.02,pruned,delta_p2,5,S3,S3,1.0,3.980481202359165e-05,1
config_m33_v0,P0__k0=-1.5__sk=0.5__t=2__nu=0.02,pruned,delta_p2,10,S3,S3,1.0,3.980481202359165e-05,1
config_m33_v0,P0__k0=-1.5__sk=0.5__t=5__nu=0.02,pruned,delta_p,1,S3,S3,1.0,-1.8916127553225692e-09,1
config_m33_v0,P0__k0=-1.5__sk=0.5__t=5__nu=0.02,pruned,delta_p,3,S3,S3,1.0,-1.8916127553225692e-09,1
config_m33_v0,P0__k0=-1.5__sk=0.5__t=5__nu=0.02,pruned,delta_p,5,S3,S3,1.0,-1.8916127553225692e-09,1
config_m33_v0,P0__k0=-1.5__sk=0.5__t=5__nu=0.02,pruned,delta_p,10,S3,S3,1.0,-1.8916127553225692e-09,1
config_m33_v0,P0__k0=-1.5__sk=0.5__t=5__nu=0.02,pruned,delta_p2,1,S3,S3,1.0,-0.04915465957726406,1
config_m33_v0,P0__k0=-1.5__sk=0.5__t=5__nu=0.02,pruned,delta_p2,3,S3,S3,1.0,-0.04915465957726406,1
config_m33_v0,P0__k0=-1.5__sk=0.5__t=5__nu=0.02,pruned,delta_p2,5,S3,S3,1.0,-0.04915465957726406,1
config_m33_v0,P0__k0=-1.5__sk=0.5__t=5__nu=0.02,pruned,delta_p2,10,S3,S3,1.0,-0.04915465957726406,1
config_m33_v0,P0__k0=-1.5__sk=0.5__t=10__nu=0.02,pruned,delta_p,1,S3,S3,1.0,1.187383524836605e-12,1
config_m33_v0,P0__k0=-1.5__sk=0.5__t=10__nu=0.02,pruned,delta_p,3,S3,S3,1.0,1.187383524836605e-12,1
config_m33_v0,P0__k0=-1.5__sk=0.5__t=10__nu=0.02,pruned,delta_p,5,S3,S3,1.0,1.187383524836605e-12,1
config_m33_v0,P0__k0=-1.5__sk=0.5__t=10__nu=0.02,pruned,delta_p,10,S3,S3,1.0,1.187383524836605e-12,1
config_m33_v0,P0__k0=-1.5__sk=0.5__t=10__nu=0.02,pruned,delta_p2,1,S3,S3,1.0,-0.0020631565050096556,1
config_m33_v0,P0__k0=-1.5__sk=0.5__t=10__nu=0.02,pruned,delta_p2,3,S3,S3,0.6666666666666666,-0.0020631565050096556,1
config_m33_v0,P0__k0=-1.5__sk=0.5__t=10__nu=0.02,pruned,delta_p2,5,S3,S3,1.0,-0.0020631565050096556,1
config_m33_v0,P0__k0=-1.5__sk=0.5__t=10__nu=0.02,pruned,delta_p2,10,S3,S3,1.0,-0.0020631565050096556,1
config_m33_v0,P0__k0=-1.5__sk=0.8__t=2__nu=0.02,pruned,delta_p,1,S2,S2,1.0,-8.383898690622615e-06,1
config_m33_v0,P0__k0=-1.5__sk=0.8__t=2__nu=0.02,pruned,delta_p,3,S2,S2,1.0,-8.383898690622615e-06,1
config_m33_v0,P0__k0=-1.5__sk=0.8__t=2__nu=0.02,pruned,delta_p,5,S2,S2,1.0,-8.383898690622615e-06,1
config_m33_v0,P0__k0=-1.5__sk=0.8__t=2__nu=0.02,pruned,delta_p,10,S2,S2,1.0,-8.383898690622615e-06,1
config_m33_v0,P0__k0=-1.5__sk=0.8__t=2__nu=0.02,pruned,delta_p2,1,S2,S2,1.0,0.015816388401779014,1
config_m33_v0,P0__k0=-1.5__sk=0.8__t=2__nu=0.02,pruned,delta_p2,3,S2,S2,1.0,0.015816388401779014,1
config_m33_v0,P0__k0=-1.5__sk=0.8__t=2__nu=0.02,pruned,delta_p2,5,S2,S2,1.0,0.015816388401779014,1
config_m33_v0,P0__k0=-1.5__sk=0.8__t=2__nu=0.02,pruned,delta_p2,10,S2,S2,1.0,0.015816388401779014,1
config_m33_v0,P0__k0=-1.5__sk=0.8__t=5__nu=0.02,pruned,delta_p,1,S2,S2,0.0,-0.0002642214521707542,0
config_m33_v0,P0__k0=-1.5__sk=0.8__t=5__nu=0.02,pruned,delta_p,3,S2,S2,1.0,-0.0002642214521707542,1
config_m33_v0,P0__k0=-1.5__sk=0.8__t=5__nu=0.02,pruned,delta_p,5,S2,S2,1.0,-0.0002642214521707542,1
config_m33_v0,P0__k0=-1.5__sk=0.8__t=5__nu=0.02,pruned,delta_p,10,S2,S2,1.0,-0.0002642214521707542,1
config_m33_v0,P0__k0=-1.5__sk=0.8__t=5__nu=0.02,pruned,delta_p2,1,S2,S2,0.0,-0.010140172955651283,0
