run_id,case_id,reference_mode,top_k,branch_label_none,branch_label_quadratic,pair_overlap_none_vs_quadratic,weighted_pair_overlap,n_entering_pairs,n_leaving_pairs,mean_rank_shift_shared_pairs,dominant_pair_preserved_flag,pair_migration_label,identity_preserved_flag
config_m33_v0,P0__k0=-1__sk=0.5__t=5__nu=0.02,pruned,1,S3,S3,0.0,0.0,1,1,1.5,0,major_migration,0
config_m33_v0,P0__k0=-1__sk=0.5__t=5__nu=0.02,pruned,3,S3,S3,1.0,0.5840222622946848,0,0,1.3333333333333333,1,stable_reweighting,0
config_m33_v0,P0__k0=-1__sk=0.5__t=5__nu=0.02,pruned,5,S3,S3,1.0,0.5843621486874314,0,0,0.8,1,stable_reweighting,0
config_m33_v0,P0__k0=-1__sk=0.5__t=5__nu=0.02,pruned,10,S3,S3,1.0,0.5843764504526326,0,0,0.8,1,stable_reweighting,0
config_m33_v0,P0__k0=-1__sk=0.5__t=10__nu=0.02,pruned,1,S3,S3,0.0,0.0,1,1,1.0,0,major_migration,0
config_m33_v0,P0__k0=-1__sk=0.5__t=10__nu=0.02,pruned,3,S3,S3,1.0,0.9765583262105133,0,0,0.6666666666666666,1,partial_migration,1
config_m33_v0,P0__k0=-1__sk=0.5__t=10__nu=0.02,pruned,5,S3,S3,1.0,0.9766134482343509,0,0,0.8,1,partial_migration,1
config_m33_v0,P0__k0=-1__sk=0.5__t=10__nu=0.02,pruned,10,S3,S3,1.0,0.9766196157943763,0,0,0.8,1,partial_migration,1
config_m33_v0,P0__k0=-1__sk=0.8__t=2__nu=0.02,pruned,1,S3,S3,0.0,0.0,1,1,1.0,0,major_migration,0
config_m33_v0,P0__k0=-1__sk=0.8__t=2__nu=0.02,pruned,3,S3,S3,1.0,0.8707664476215423,0,0,0.6666666666666666,1,stable_reweighting,1
config_m33_v0,P0__k0=-1__sk=0.8__t=2__nu=0.02,pruned,5,S3,S3,1.0,0.9061255115472253,0,0,0.8,1,partial_migration,1
config_m33_v0,P0__k0=-1__sk=0.8__t=2__nu=0.02,pruned,10,S3,S3,1.0,0.9273065726316594,0,0,0.6,1,partial_migration,1
config_m33_v0,P0__k0=-1__sk=0.8__t=5__nu=0.02,pruned,1,S2,S2,0.0,0.0,1,1,3.0,0,major_migration,0
config_m33_v0,P0__k0=-1__sk=0.8__t=5__nu=0.02,pruned,3,S2,S2,0.6666666666666666,0.6063015974405409,1,1,1.75,1,partial_migration,1
config_m33_v0,P0__k0=-1__sk=0.8__t=5__nu=0.02,pruned,5,S2,S2,1.0,0.6837227502557752,0,0,1.6,1,stable_reweighting,1
config_m33_v0,P0__k0=-1__sk=0.8__t=5__nu=0.02,pruned,10,S2,S2,1.0,0.6980800764610429,0,0,1.4,1,stable_reweighting,1
config_m33_v0,P0__k0=-1__sk=0.8__t=10__nu=0.02,pruned,1,S3,S3,1.0,0.4368528282373677,0,0,0.0,1,stable_reweighting,0
config_m33_v0,P0__k0=-1__sk=0.8__t=10__nu=0.02,pruned,3,S3,S3,1.0,0.9118691430371941,0,0,0.0,1,partial_migration,1
config_m33_v0,P0__k0=-1__sk=0.8__t=10__nu=0.02,pruned,5,S3,S3,1.0,0.9237378865705279,0,0,0.0,1,partial_migration,1
config_m33_v0,P0__k0=-1__sk=0.8__t=10__nu=0.02,pruned,10,S3,S3,1.0,0.9319087484057546,0,0,0.4,1,partial_migration,1
config_m33_v0,P0__k0=-1__sk=1__t=2__nu=0.02,pruned,1,S2,S2,1.0,0.2855818248276598,0,0,0.0,1,stable_reweighting,0
config_m33_v0,P0__k0=-1__sk=1__t=2__nu=0.02,pruned,3,S2,S2,1.0,0.7320189906781238,0,0,0.6666666666666666,1,stable_reweighting,1
config_m33_v0,P0__k0=-1__sk=1__t=2__nu=0.02,pruned,5,S2,S2,1.0,0.82904299206153,0,0,0.8,1,stable_reweighting,1
config_m33_v0,P0__k0=-1__sk=1__t=2__nu=0.02,pruned,10,S2,S2,1.0,0.9174668190035639,0,0,0.4,1,partial_migration,1
config_m33_v0,P0__k0=-1__sk=1__t=5__nu=0.02,pruned,1,S2,S2,1.0,0.317054561309716,0,0,0.0,1,stable_reweighting,0
config_m33_v0,P0__k0=-1__sk=1__t=5__nu=0.02,pruned,3,S2,S2,0.6666666666666666,0.5194615190375759,1,1,1.75,1,partial_migration,0
config_m33_v0,P0__k0=-1__sk=1__t=5__nu=0.02,pruned,5,S2,S2,0.8,0.6609503891192301,1,1,1.6666666666666667,1,stable_reweighting,1
config_m33_v0,P0__k0=-1__sk=1__t=5__nu=0.02,pruned,10,S2,S2,0.9,0.7275318976726145,1,1,1.8181818181818181,1,stable_reweighting,1
config_m33_v0,P0__k0=-1__sk=1__t=10__nu=0.02,pruned,1,S2,S2,1.0,0.3743112223322756,0,0,0.0,1,stable_reweighting,0
config_m33_v0,P0__k0=-1__sk=1__t=10__nu=0.02,pruned,3,S2,S2,1.0,0.8162066963240379,0,0,0.0,1,stable_reweighting,1
config_m33_v0,P0__k0=-1__sk=1__t=10__nu=0.02,pruned,5,S2,S2,0.8,0.8370737267126621,1,1,1.0,1,stable_reweighting,1
config_m33_v0,P0__k0=-1__sk=1__t=10__nu=0.02,pruned,10,S2,S2,1.0,0.8924315962001528,0,0,0.8,1,stable_reweighting,1
config_m33_v0,P0__k0=3.5__sk=0.3__t=2__nu=0.02,pruned,1,S3,S3,1.0,0.9999999999999948,0,0,0.0,1,partial_migration,1
config_m33_v0,P0__k0=3.5__sk=0.3__t=2__nu=0.02,pruned,3,S3,S3,1.0,0.999999999999997,0,0,0.0,1,partial_migration,1
config_m33_v0,P0__k0=3.5__sk=0.3__t=2__nu=0.02,pruned,5,S3,S3,1.0,0.999999999999997,0,0,0.0,1,partial_migration,1
config_m33_v0,P0__k0=3.5__sk=0.3__t=2__nu=0.02,pruned,10,S3,S3,1.0,0.999999999999997,0,0,0.0,1,partial_migration,1
config_m33_v0,P0__k0=3.5__sk=0.3__t=5__nu=0.02,pruned,1,S3,S3,1.0,0.99999999999999,0,0,0.0,1,partial_migration,1
