run_id,case_label,branch_label,mode,sigma_factor,sigma_p_test,t,p_family,theta,source_feature,best_p0,sigma_p_base,best_alpha_source,diversity_group,group_weight,class_mode,class_label,class_rank,sum_contrib_primary,normalized_class_contrib
M33_V0_alpha_peak_robustness,t=5.0__pf=P0__th=1e-09,S1,pruned,0.5,0.15,5.0,P0,1e-09,neg,-1.0,0.3,1.3,S1|5.0|P0|neg,1.0,delta_p2,dp2=9,8,3.6141531902665486e-47,1.2005188957960169e-40
M33_V0_alpha_peak_robustness,t=5.0__pf=P0__th=1e-09,S1,pruned,0.5,0.15,5.0,P0,1e-09,neg,-1.0,0.3,1.3,S1|5.0|P0|neg,1.0,delta_p2,dp2=-3,9,1.520556165159518e-85,5.0508551029584353e-79
M33_V0_alpha_peak_robustness,t=5.0__pf=P0__th=1e-09,S1,pruned,0.5,0.15,5.0,P0,1e-09,neg,-1.0,0.3,1.3,S1|5.0|P0|neg,1.0,delta_p2,dp2=-4,10,1.0244056775134597e-94,3.4027842984843937e-88
M33_V0_alpha_peak_robustness,t=5.0__pf=P0__th=1e-09,S1,pruned,0.5,0.15,5.0,P0,1e-09,neg,-1.0,0.3,1.3,S1|5.0|P0|neg,1.0,delta_p2,dp2=-9,11,5.573714459773334e-163,1.8514294155405957e-156
M33_V0_alpha_peak_robustness,t=5.0__pf=P0__th=1e-09,S1,pruned,0.5,0.15,5.0,P0,1e-09,neg,-1.0,0.3,1.3,S1|5.0|P0|neg,1.0,delta_p2,dp2=-8,12,2.257439228614637e-191,7.498571054934124e-185
M33_V0_alpha_peak_robustness,t=5.0__pf=P0__th=1e-09,S1,pruned,0.5,0.15,5.0,P0,1e-09,neg,-1.0,0.3,1.3,S1|5.0|P0|neg,1.0,delta_p2,dp2=-5,13,3.1589153186091283e-239,1.049301822740409e-232
M33_V0_alpha_peak_robustness,t=2.0__pf=P1__th=1e-09,S2,pruned,0.5,0.15,2.0,P1,1e-09,neg,3.5,0.3,1.58,S2|2.0|P1|neg,0.5,delta_p,dp=-2,1,1.6215227527848974e-07,1.0
M33_V0_alpha_peak_robustness,t=2.0__pf=P1__th=1e-09,S2,pruned,0.5,0.15,2.0,P1,1e-09,neg,3.5,0.3,1.58,S2|2.0|P1|neg,0.5,delta_p,dp=-1,2,1.0955257010540228e-163,6.75615373988742e-157
M33_V0_alpha_peak_robustness,t=2.0__pf=P1__th=1e-09,S2,pruned,0.5,0.15,2.0,P1,1e-09,neg,3.5,0.3,1.58,S2|2.0|P1|neg,0.5,delta_p,dp=-5,3,1.7542534139591003e-182,1.0818555650521977e-175
M33_V0_alpha_peak_robustness,t=2.0__pf=P1__th=1e-09,S2,pruned,0.5,0.15,2.0,P1,1e-09,neg,3.5,0.3,1.58,S2|2.0|P1|neg,0.5,delta_p,dp=-3,4,0.0,0.0
M33_V0_alpha_peak_robustness,t=2.0__pf=P1__th=1e-09,S2,pruned,0.5,0.15,2.0,P1,1e-09,neg,3.5,0.3,1.58,S2|2.0|P1|neg,0.5,delta_p,dp=-4,5,0.0,0.0
M33_V0_alpha_peak_robustness,t=2.0__pf=P1__th=1e-09,S2,pruned,0.5,0.15,2.0,P1,1e-09,neg,3.5,0.3,1.58,S2|2.0|P1|neg,0.5,delta_p,dp=-6,6,0.0,0.0
M33_V0_alpha_peak_robustness,t=2.0__pf=P1__th=1e-09,S2,pruned,0.5,0.15,2.0,P1,1e-09,neg,3.5,0.3,1.58,S2|2.0|P1|neg,0.5,delta_p,dp=-7,7,0.0,0.0
M33_V0_alpha_peak_robustness,t=2.0__pf=P1__th=1e-09,S2,pruned,0.5,0.15,2.0,P1,1e-09,neg,3.5,0.3,1.58,S2|2.0|P1|neg,0.5,delta_p2,dp2=-12,1,1.6215227527848974e-07,1.0
M33_V0_alpha_peak_robustness,t=2.0__pf=P1__th=1e-09,S2,pruned,0.5,0.15,2.0,P1,1e-09,neg,3.5,0.3,1.58,S2|2.0|P1|neg,0.5,delta_p2,dp2=-4,2,2.5143224710548863e-123,1.5505933954590788e-116
M33_V0_alpha_peak_robustness,t=2.0__pf=P1__th=1e-09,S2,pruned,0.5,0.15,2.0,P1,1e-09,neg,3.5,0.3,1.58,S2|2.0|P1|neg,0.5,delta_p2,dp2=-1,3,1.0955257010540228e-163,6.75615373988742e-157
M33_V0_alpha_peak_robustness,t=2.0__pf=P1__th=1e-09,S2,pruned,0.5,0.15,2.0,P1,1e-09,neg,3.5,0.3,1.58,S2|2.0|P1|neg,0.5,delta_p2,dp2=-15,4,1.7542534139591003e-182,1.0818555650521977e-175
M33_V0_alpha_peak_robustness,t=2.0__pf=P1__th=1e-09,S2,pruned,0.5,0.15,2.0,P1,1e-09,neg,3.5,0.3,1.58,S2|2.0|P1|neg,0.5,delta_p2,dp2=0,5,3.88019459875732e-239,2.3929325642167204e-232
