pair_a,pair_b,abs_delta_a,abs_delta_b,same_abs_delta,strength,theta_edge,edge_candidate_flag,expected_flag_by_same_abs_delta,expected_flag_by_strength_threshold,flag_matches_same_abs_delta,flag_matches_strength_threshold,strength_is_one,strength_one_matches_same_abs_delta
2|4,5|6,2,1,false,0.2423545674493508,0.5,0,0,0,true,true,false,true
2|4,6|5,2,1,false,0.2423545674493508,0.5,0,0,0,true,true,false,true
3|1,3|2,2,1,false,0.24235456744935086,0.5,0,0,0,true,true,false,true
3|1,3|4,2,1,false,0.24235456744935086,0.5,0,0,0,true,true,false,true
3|1,4|3,2,1,false,0.24235456744935086,0.5,0,0,0,true,true,false,true
3|1,4|5,2,1,false,0.24235456744935086,0.5,0,0,0,true,true,false,true
3|1,5|4,2,1,false,0.24235456744935086,0.5,0,0,0,true,true,false,true
3|1,5|6,2,1,false,0.24235456744935086,0.5,0,0,0,true,true,false,true
3|1,6|5,2,1,false,0.2423545674493509,0.5,0,0,0,true,true,false,true
3|5,4|3,2,1,false,0.2423545674493508,0.5,0,0,0,true,true,false,true
3|5,4|5,2,1,false,0.24235456744935086,0.5,0,0,0,true,true,false,true
3|5,5|4,2,1,false,0.2423545674493508,0.5,0,0,0,true,true,false,true
3|5,5|6,2,1,false,0.2423545674493508,0.5,0,0,0,true,true,false,true
3|5,6|5,2,1,false,0.2423545674493508,0.5,0,0,0,true,true,false,true
4|2,4|3,2,1,false,0.24235456744935086,0.5,0,0,0,true,true,false,true
4|2,4|5,2,1,false,0.24235456744935086,0.5,0,0,0,true,true,false,true
4|2,5|4,2,1,false,0.24235456744935086,0.5,0,0,0,true,true,false,true
4|2,5|6,2,1,false,0.24235456744935086,0.5,0,0,0,true,true,false,true
4|2,6|5,2,1,false,0.2423545674493509,0.5,0,0,0,true,true,false,true
4|6,5|4,2,1,false,0.24235456744935086,0.5,0,0,0,true,true,false,true
4|6,5|6,2,1,false,0.24235456744935086,0.5,0,0,0,true,true,false,true
4|6,6|5,2,1,false,0.2423545674493509,0.5,0,0,0,true,true,false,true
5|3,5|4,2,1,false,0.24235456744935086,0.5,0,0,0,true,true,false,true
5|3,5|6,2,1,false,0.24235456744935086,0.5,0,0,0,true,true,false,true
5|3,6|5,2,1,false,0.2423545674493509,0.5,0,0,0,true,true,false,true
6|4,6|5,2,1,false,0.24235456744935086,0.5,0,0,0,true,true,false,true
0|2,1|3,2,2,true,1.0,0.5,1,1,1,true,true,true,true
0|2,2|0,2,2,true,1.0,0.5,1,1,1,true,true,true,true
0|2,2|4,2,2,true,1.0,0.5,1,1,1,true,true,true,true
