row_id,galaxy_id,radius_kpc,vobs_km_s,vgas_km_s,vdisk_km_s_ml1,vbul_km_s_ml1,gobs_m_per_s2,log10_gobs,vbar_ml1_km_s_preparatory,gbar_status,mass_to_light_assumption_required,claim_boundary
90,DDO161,11.94,66.60,30.30,14.47,0.00,1.2039087927209251e-11,-10.919406413674887,33.577833461973093,requires_ml_assumption_not_finalized,true,massmodels_standard_baseline_preparation_only
91,DDO161,12.41,66.80,29.42,14.16,0.00,1.1652808200266093e-11,-10.933569401769777,32.650298620380184,requires_ml_assumption_not_finalized,true,massmodels_standard_baseline_preparation_only
92,DDO161,12.90,66.30,28.69,13.86,0.00,1.1042993112261782e-11,-10.956913198711842,31.862449686111709,requires_ml_assumption_not_finalized,true,massmodels_standard_baseline_preparation_only
93,DDO161,13.37,66.10,27.81,13.59,0.00,1.0590609782522972e-11,-10.975079033512841,30.952935240458213,requires_ml_assumption_not_finalized,true,massmodels_standard_baseline_preparation_only
94,DDO168,0.41,15.00,10.41,8.28,0.00,1.778476439329225e-11,-10.749951883830512,13.301372109673498,requires_ml_assumption_not_finalized,true,massmodels_standard_baseline_preparation_only
95,DDO168,0.82,23.40,18.08,12.66,0.00,2.1640501313758005e-11,-10.664732682785569,22.071746645881923,requires_ml_assumption_not_finalized,true,massmodels_standard_baseline_preparation_only
96,DDO168,1.24,29.20,20.09,15.11,0.00,2.228401655928906e-11,-10.652006527487536,25.138022993067693,requires_ml_assumption_not_finalized,true,massmodels_standard_baseline_preparation_only
97,DDO168,1.64,36.20,20.20,15.99,0.00,2.5895407390606551e-11,-10.586777252203504,25.762765767673315,requires_ml_assumption_not_finalized,true,massmodels_standard_baseline_preparation_only
98,DDO168,2.06,44.00,22.00,16.89,0.00,3.0457032545457724e-11,-10.516312412618916,27.735754902291735,requires_ml_assumption_not_finalized,true,massmodels_standard_baseline_preparation_only
99,DDO168,2.47,52.10,22.63,17.03,0.00,3.5614589923322587e-11,-10.448372051882755,28.322037356094281,requires_ml_assumption_not_finalized,true,massmodels_standard_baseline_preparation_only
100,DDO168,2.89,52.90,22.95,16.99,0.00,3.1380723776380636e-11,-10.503337043908315,28.554554803043242,requires_ml_assumption_not_finalized,true,massmodels_standard_baseline_preparation_only
101,DDO168,3.30,54.80,22.74,17.19,0.00,2.949148435567577e-11,-10.530303368131287,28.506204587773517,requires_ml_assumption_not_finalized,true,massmodels_standard_baseline_preparation_only
102,DDO168,3.71,55.00,22.74,17.16,0.00,2.6424143802073327e-11,-10.577999075848696,28.488123841348344,requires_ml_assumption_not_finalized,true,massmodels_standard_baseline_preparation_only
103,DDO168,4.12,52.00,22.74,16.37,0.00,2.1269580579265928e-11,-10.672241073985674,28.019359378829488,requires_ml_assumption_not_finalized,true,massmodels_standard_baseline_preparation_only
104,DDO170,1.87,27.70,8.68,18.19,0.00,1.329742000533565e-11,-10.876232613629741,20.154862936770375,requires_ml_assumption_not_finalized,true,massmodels_standard_baseline_preparation_only
105,DDO170,3.36,42.40,15.07,19.75,0.00,1.7339712426760421e-11,-10.760958109426516,24.842854103343281,requires_ml_assumption_not_finalized,true,massmodels_standard_baseline_preparation_only
106,DDO170,4.86,52.50,20.59,19.94,0.00,1.8379419581339568e-11,-10.735668207672518,28.662723178372289,requires_ml_assumption_not_finalized,true,massmodels_standard_baseline_preparation_only
107,DDO170,6.35,55.60,24.61,19.17,0.00,1.5777032227112966e-11,-10.801974687349999,31.195207965326983,requires_ml_assumption_not_finalized,true,massmodels_standard_baseline_preparation_only
108,DDO170,7.85,58.60,26.94,18.71,0.00,1.4176696113096016e-11,-10.848424969931209,32.799812499464082,requires_ml_assumption_not_finalized,true,massmodels_standard_baseline_preparation_only
109,DDO170,9.34,59.00,27.60,17.41,0.00,1.2078321955627231e-11,-10.917993398167944,32.632316804051783,requires_ml_assumption_not_finalized,true,massmodels_standard_baseline_preparation_only
110,DDO170,10.83,60.00,26.77,16.05,0.00,1.0772673538319219e-11,-10.967676501080172,31.212744192076414,requires_ml_assumption_not_finalized,true,massmodels_standard_baseline_preparation_only
111,DDO170,12.33,62.20,24.90,15.01,0.00,1.016874010233085e-11,-10.992732852436232,29.074217100379503,requires_ml_assumption_not_finalized,true,massmodels_standard_baseline_preparation_only
112,ESO079-G014,0.41,33.20,2.21,28.95,0.00,8.7124794243833115e-11,-10.059858234533801,29.034231520741166,requires_ml_assumption_not_finalized,true,massmodels_standard_baseline_preparation_only
