section,field_1,field_2,field_3,field_4,notes
domain_path_samples,causality,data/bmc09c_mutual_knn_inputs/k_4/baseline_relational_table_real.csv,,,domain_guess=causality; relative_path=data/bmc09c_mutual_knn_inputs/k_4/baseline_relational_table_real.csv
domain_path_samples,causality,data/bmc09c_mutual_knn_inputs/k_4/graph_build_summary.json,,,domain_guess=causality; relative_path=data/bmc09c_mutual_knn_inputs/k_4/graph_build_summary.json
domain_path_samples,causality,data/bmc09c_mutual_knn_inputs/k_4/node_metadata_real.csv,,,domain_guess=causality; relative_path=data/bmc09c_mutual_knn_inputs/k_4/node_metadata_real.csv
domain_path_samples,causality,data/bmc09c_runner_config_k_2.yaml,,,domain_guess=causality; relative_path=data/bmc09c_runner_config_k_2.yaml
domain_path_samples,causality,data/bmc09c_runner_config_k_3.yaml,,,domain_guess=causality; relative_path=data/bmc09c_runner_config_k_3.yaml
domain_path_samples,causality,data/bmc09c_runner_config_k_4.yaml,,,domain_guess=causality; relative_path=data/bmc09c_runner_config_k_4.yaml
domain_path_samples,causality,data/bmc09d_runner_config_hybrid_k3_tau_025.yaml,,,domain_guess=causality; relative_path=data/bmc09d_runner_config_hybrid_k3_tau_025.yaml
domain_path_samples,causality,data/bmc09d_runner_config_hybrid_k3_tau_03.yaml,,,domain_guess=causality; relative_path=data/bmc09d_runner_config_hybrid_k3_tau_03.yaml
domain_path_samples,causality,data/bmc09d_runner_config_threshold_tau_025.yaml,,,domain_guess=causality; relative_path=data/bmc09d_runner_config_threshold_tau_025.yaml
domain_path_samples,causality,data/bmc09d_runner_config_threshold_tau_035.yaml,,,domain_guess=causality; relative_path=data/bmc09d_runner_config_threshold_tau_035.yaml
domain_path_samples,causality,data/bmc09d_runner_config_threshold_tau_03.yaml,,,domain_guess=causality; relative_path=data/bmc09d_runner_config_threshold_tau_03.yaml
domain_path_samples,causality,data/bmc09d_threshold_hybrid_compare_config.yaml,,,domain_guess=causality; relative_path=data/bmc09d_threshold_hybrid_compare_config.yaml
domain_path_samples,causality,data/bmc09d_threshold_hybrid_config.yaml,,,domain_guess=causality; relative_path=data/bmc09d_threshold_hybrid_config.yaml
domain_path_samples,causality,data/bmc09d_threshold_hybrid_inputs/graph_build_diagnostics.csv,,,domain_guess=causality; relative_path=data/bmc09d_threshold_hybrid_inputs/graph_build_diagnostics.csv
domain_path_samples,causality,data/bmc09d_threshold_hybrid_inputs/hybrid_k3_tau_025/baseline_relational_table_real.csv,,,domain_guess=causality; relative_path=data/bmc09d_threshold_hybrid_inputs/hybrid_k3_tau_025/baseline_relational_table_real.csv
domain_path_samples,causality,data/bmc09d_threshold_hybrid_inputs/hybrid_k3_tau_025/graph_build_summary.json,,,domain_guess=causality; relative_path=data/bmc09d_threshold_hybrid_inputs/hybrid_k3_tau_025/graph_build_summary.json
domain_path_samples,causality,data/bmc09d_threshold_hybrid_inputs/hybrid_k3_tau_025/node_metadata_real.csv,,,domain_guess=causality; relative_path=data/bmc09d_threshold_hybrid_inputs/hybrid_k3_tau_025/node_metadata_real.csv
domain_path_samples,causality,data/bmc09d_threshold_hybrid_inputs/hybrid_k3_tau_03/baseline_relational_table_real.csv,,,domain_guess=causality; relative_path=data/bmc09d_threshold_hybrid_inputs/hybrid_k3_tau_03/baseline_relational_table_real.csv
domain_path_samples,causality,data/bmc09d_threshold_hybrid_inputs/hybrid_k3_tau_03/graph_build_summary.json,,,domain_guess=causality; relative_path=data/bmc09d_threshold_hybrid_inputs/hybrid_k3_tau_03/graph_build_summary.json
domain_path_samples,causality,data/bmc09d_threshold_hybrid_inputs/hybrid_k3_tau_03/node_metadata_real.csv,,,domain_guess=causality; relative_path=data/bmc09d_threshold_hybrid_inputs/hybrid_k3_tau_03/node_metadata_real.csv
domain_path_samples,causality,data/bmc09d_threshold_hybrid_inputs/threshold_tau_025/baseline_relational_table_real.csv,,,domain_guess=causality; relative_path=data/bmc09d_threshold_hybrid_inputs/threshold_tau_025/baseline_relational_table_real.csv
domain_path_samples,causality,data/bmc09d_threshold_hybrid_inputs/threshold_tau_025/graph_build_summary.json,,,domain_guess=causality; relative_path=data/bmc09d_threshold_hybrid_inputs/threshold_tau_025/graph_build_summary.json
domain_path_samples,causality,data/bmc09d_threshold_hybrid_inputs/threshold_tau_025/node_metadata_real.csv,,,domain_guess=causality; relative_path=data/bmc09d_threshold_hybrid_inputs/threshold_tau_025/node_metadata_real.csv
domain_path_samples,causality,data/bmc09d_threshold_hybrid_inputs/threshold_tau_035/baseline_relational_table_real.csv,,,domain_guess=causality; relative_path=data/bmc09d_threshold_hybrid_inputs/threshold_tau_035/baseline_relational_table_real.csv
domain_path_samples,causality,data/bmc09d_threshold_hybrid_inputs/threshold_tau_035/graph_build_summary.json,,,domain_guess=causality; relative_path=data/bmc09d_threshold_hybrid_inputs/threshold_tau_035/graph_build_summary.json
domain_path_samples,causality,data/bmc09d_threshold_hybrid_inputs/threshold_tau_035/node_metadata_real.csv,,,domain_guess=causality; relative_path=data/bmc09d_threshold_hybrid_inputs/threshold_tau_035/node_metadata_real.csv
domain_path_samples,causality,data/bmc09d_threshold_hybrid_inputs/threshold_tau_03/baseline_relational_table_real.csv,,,domain_guess=causality; relative_path=data/bmc09d_threshold_hybrid_inputs/threshold_tau_03/baseline_relational_table_real.csv
domain_path_samples,causality,data/bmc09d_threshold_hybrid_inputs/threshold_tau_03/graph_build_summary.json,,,domain_guess=causality; relative_path=data/bmc09d_threshold_hybrid_inputs/threshold_tau_03/graph_build_summary.json
domain_path_samples,causality,data/bmc09d_threshold_hybrid_inputs/threshold_tau_03/node_metadata_real.csv,,,domain_guess=causality; relative_path=data/bmc09d_threshold_hybrid_inputs/threshold_tau_03/node_metadata_real.csv
domain_path_samples,causality,data/bmc10_nullmodel_compare_config.yaml,,,domain_guess=causality; relative_path=data/bmc10_nullmodel_compare_config.yaml
domain_path_samples,causality,data/bmc10_nullmodel_config.yaml,,,domain_guess=causality; relative_path=data/bmc10_nullmodel_config.yaml
domain_path_samples,causality,data/bmc10_nullmodel_inputs/graph_build_diagnostics.csv,,,domain_guess=causality; relative_path=data/bmc10_nullmodel_inputs/graph_build_diagnostics.csv
domain_path_samples,causality,data/bmc10_nullmodel_inputs/seed_101/nullmodel_feature_table.csv,,,domain_guess=causality; relative_path=data/bmc10_nullmodel_inputs/seed_101/nullmodel_feature_table.csv
domain_path_samples,causality,data/bmc10_nullmodel_inputs/seed_101/threshold_tau_028/baseline_relational_table_real.csv,,,domain_guess=causality; relative_path=data/bmc10_nullmodel_inputs/seed_101/threshold_tau_028/baseline_relational_table_real.csv
domain_path_samples,causality,data/bmc10_nullmodel_inputs/seed_101/threshold_tau_028/graph_build_summary.json,,,domain_guess=causality; relative_path=data/bmc10_nullmodel_inputs/seed_101/threshold_tau_028/graph_build_summary.json
domain_path_samples,causality,data/bmc10_nullmodel_inputs/seed_101/threshold_tau_028/node_metadata_real.csv,,,domain_guess=causality; relative_path=data/bmc10_nullmodel_inputs/seed_101/threshold_tau_028/node_metadata_real.csv
domain_path_samples,causality,data/bmc10_nullmodel_inputs/seed_101/threshold_tau_032/baseline_relational_table_real.csv,,,domain_guess=causality; relative_path=data/bmc10_nullmodel_inputs/seed_101/threshold_tau_032/baseline_relational_table_real.csv
domain_path_samples,causality,data/bmc10_nullmodel_inputs/seed_101/threshold_tau_032/graph_build_summary.json,,,domain_guess=causality; relative_path=data/bmc10_nullmodel_inputs/seed_101/threshold_tau_032/graph_build_summary.json
domain_path_samples,causality,data/bmc10_nullmodel_inputs/seed_101/threshold_tau_032/node_metadata_real.csv,,,domain_guess=causality; relative_path=data/bmc10_nullmodel_inputs/seed_101/threshold_tau_032/node_metadata_real.csv
domain_path_samples,causality,data/bmc10_nullmodel_inputs/seed_101/threshold_tau_03/baseline_relational_table_real.csv,,,domain_guess=causality; relative_path=data/bmc10_nullmodel_inputs/seed_101/threshold_tau_03/baseline_relational_table_real.csv
domain_path_samples,causality,data/bmc10_nullmodel_inputs/seed_101/threshold_tau_03/graph_build_summary.json,,,domain_guess=causality; relative_path=data/bmc10_nullmodel_inputs/seed_101/threshold_tau_03/graph_build_summary.json
domain_path_samples,causality,data/bmc10_nullmodel_inputs/seed_101/threshold_tau_03/node_metadata_real.csv,,,domain_guess=causality; relative_path=data/bmc10_nullmodel_inputs/seed_101/threshold_tau_03/node_metadata_real.csv
domain_path_samples,causality,data/bmc10_nullmodel_inputs/seed_202/nullmodel_feature_table.csv,,,domain_guess=causality; relative_path=data/bmc10_nullmodel_inputs/seed_202/nullmodel_feature_table.csv
domain_path_samples,causality,data/bmc10_nullmodel_inputs/seed_202/threshold_tau_028/baseline_relational_table_real.csv,,,domain_guess=causality; relative_path=data/bmc10_nullmodel_inputs/seed_202/threshold_tau_028/baseline_relational_table_real.csv
domain_path_samples,causality,data/bmc10_nullmodel_inputs/seed_202/threshold_tau_028/graph_build_summary.json,,,domain_guess=causality; relative_path=data/bmc10_nullmodel_inputs/seed_202/threshold_tau_028/graph_build_summary.json
domain_path_samples,causality,data/bmc10_nullmodel_inputs/seed_202/threshold_tau_028/node_metadata_real.csv,,,domain_guess=causality; relative_path=data/bmc10_nullmodel_inputs/seed_202/threshold_tau_028/node_metadata_real.csv
domain_path_samples,causality,data/bmc10_nullmodel_inputs/seed_202/threshold_tau_032/baseline_relational_table_real.csv,,,domain_guess=causality; relative_path=data/bmc10_nullmodel_inputs/seed_202/threshold_tau_032/baseline_relational_table_real.csv
domain_path_samples,causality,data/bmc10_nullmodel_inputs/seed_202/threshold_tau_032/graph_build_summary.json,,,domain_guess=causality; relative_path=data/bmc10_nullmodel_inputs/seed_202/threshold_tau_032/graph_build_summary.json
domain_path_samples,causality,data/bmc10_nullmodel_inputs/seed_202/threshold_tau_032/node_metadata_real.csv,,,domain_guess=causality; relative_path=data/bmc10_nullmodel_inputs/seed_202/threshold_tau_032/node_metadata_real.csv
domain_path_samples,causality,data/bmc10_nullmodel_inputs/seed_202/threshold_tau_03/baseline_relational_table_real.csv,,,domain_guess=causality; relative_path=data/bmc10_nullmodel_inputs/seed_202/threshold_tau_03/baseline_relational_table_real.csv
domain_path_samples,causality,data/bmc10_nullmodel_inputs/seed_202/threshold_tau_03/graph_build_summary.json,,,domain_guess=causality; relative_path=data/bmc10_nullmodel_inputs/seed_202/threshold_tau_03/graph_build_summary.json
domain_path_samples,causality,data/bmc10_nullmodel_inputs/seed_202/threshold_tau_03/node_metadata_real.csv,,,domain_guess=causality; relative_path=data/bmc10_nullmodel_inputs/seed_202/threshold_tau_03/node_metadata_real.csv
domain_path_samples,causality,data/bmc10_nullmodel_inputs/seed_303/nullmodel_feature_table.csv,,,domain_guess=causality; relative_path=data/bmc10_nullmodel_inputs/seed_303/nullmodel_feature_table.csv
domain_path_samples,causality,data/bmc10_nullmodel_inputs/seed_303/threshold_tau_028/baseline_relational_table_real.csv,,,domain_guess=causality; relative_path=data/bmc10_nullmodel_inputs/seed_303/threshold_tau_028/baseline_relational_table_real.csv
domain_path_samples,causality,data/bmc10_nullmodel_inputs/seed_303/threshold_tau_028/graph_build_summary.json,,,domain_guess=causality; relative_path=data/bmc10_nullmodel_inputs/seed_303/threshold_tau_028/graph_build_summary.json
domain_path_samples,causality,data/bmc10_nullmodel_inputs/seed_303/threshold_tau_028/node_metadata_real.csv,,,domain_guess=causality; relative_path=data/bmc10_nullmodel_inputs/seed_303/threshold_tau_028/node_metadata_real.csv
domain_path_samples,causality,data/bmc10_nullmodel_inputs/seed_303/threshold_tau_032/baseline_relational_table_real.csv,,,domain_guess=causality; relative_path=data/bmc10_nullmodel_inputs/seed_303/threshold_tau_032/baseline_relational_table_real.csv
domain_path_samples,causality,data/bmc10_nullmodel_inputs/seed_303/threshold_tau_032/graph_build_summary.json,,,domain_guess=causality; relative_path=data/bmc10_nullmodel_inputs/seed_303/threshold_tau_032/graph_build_summary.json
domain_path_samples,causality,data/bmc10_nullmodel_inputs/seed_303/threshold_tau_032/node_metadata_real.csv,,,domain_guess=causality; relative_path=data/bmc10_nullmodel_inputs/seed_303/threshold_tau_032/node_metadata_real.csv
domain_path_samples,causality,data/bmc10_nullmodel_inputs/seed_303/threshold_tau_03/baseline_relational_table_real.csv,,,domain_guess=causality; relative_path=data/bmc10_nullmodel_inputs/seed_303/threshold_tau_03/baseline_relational_table_real.csv
domain_path_samples,causality,data/bmc10_nullmodel_inputs/seed_303/threshold_tau_03/graph_build_summary.json,,,domain_guess=causality; relative_path=data/bmc10_nullmodel_inputs/seed_303/threshold_tau_03/graph_build_summary.json
domain_path_samples,causality,data/bmc10_nullmodel_inputs/seed_303/threshold_tau_03/node_metadata_real.csv,,,domain_guess=causality; relative_path=data/bmc10_nullmodel_inputs/seed_303/threshold_tau_03/node_metadata_real.csv
domain_path_samples,causality,data/bmc10_runner_config_seed_101_threshold_tau_028.yaml,,,domain_guess=causality; relative_path=data/bmc10_runner_config_seed_101_threshold_tau_028.yaml
domain_path_samples,causality,data/bmc10_runner_config_seed_101_threshold_tau_032.yaml,,,domain_guess=causality; relative_path=data/bmc10_runner_config_seed_101_threshold_tau_032.yaml
