family_id,variant_id,spectral_type,model_class,marker_name,pairing_mode,n_pairs,absolute_strength,strength_mean,strength_ci_low,strength_ci_high,absolute_support_flag,relative_rank,dominance_margin,bootstrap_win_fraction,dominant_level_flag,dominance_stable_flag,extra
TB2_FINITE_SQUARE_WELL_1D_DENSE_SWEEP,FSW_D07,type_B_quadratic_nontrivial,finite_square_well_1d,abs_delta_p,all_pairs,15,0.5713587165425466,0.5980644049033943,0.5207315140428764,0.7215926091370511,0,2,0.0,0.0,0,0,{}
TB2_FINITE_SQUARE_WELL_1D_DENSE_SWEEP,FSW_D07,type_B_quadratic_nontrivial,finite_square_well_1d,delta_p2,all_pairs,15,0.5135257925620017,0.5302280315190058,0.37306927930022155,0.6642165722329544,0,3,-0.05783292398054485,0.053,0,0,{}
TB2_FINITE_SQUARE_WELL_1D_DENSE_SWEEP,FSW_D07,type_B_quadratic_nontrivial,finite_square_well_1d,abs_delta_p2,all_pairs,15,0.5135257925620017,0.535134324560223,0.38598197262316797,0.6699911288889934,0,4,-0.05783292398054485,0.0,0,0,{}
TB2_FINITE_SQUARE_WELL_1D_DENSE_SWEEP,FSW_D07,type_B_quadratic_nontrivial,finite_square_well_1d,delta_E_quad,all_pairs,15,0.5135257925620017,0.5282048552417892,0.3634451403102083,0.6679856742570047,0,5,-0.05783292398054485,0.0,0,0,{}
TB2_FINITE_SQUARE_WELL_1D_DENSE_SWEEP,FSW_D08,type_B_quadratic_nontrivial,finite_square_well_1d,delta_p,all_pairs,15,0.5754557653462726,0.6005909910446526,0.5265785194781204,0.7018575061309735,0,1,0.0,0.875,1,1,{}
TB2_FINITE_SQUARE_WELL_1D_DENSE_SWEEP,FSW_D08,type_B_quadratic_nontrivial,finite_square_well_1d,abs_delta_p,all_pairs,15,0.5754557653462726,0.6020428574107479,0.5301053085765539,0.7101086237206871,0,2,0.0,0.0,0,0,{}
TB2_FINITE_SQUARE_WELL_1D_DENSE_SWEEP,FSW_D08,type_B_quadratic_nontrivial,finite_square_well_1d,delta_p2,all_pairs,15,0.5367659045842027,0.5586608155511413,0.42406032390304826,0.6865780331591608,0,3,-0.03868986076206993,0.125,0,0,{}
TB2_FINITE_SQUARE_WELL_1D_DENSE_SWEEP,FSW_D08,type_B_quadratic_nontrivial,finite_square_well_1d,abs_delta_p2,all_pairs,15,0.5367659045842027,0.5561035831073514,0.43248708228125077,0.6676546195027504,0,4,-0.03868986076206993,0.0,0,0,{}
TB2_FINITE_SQUARE_WELL_1D_DENSE_SWEEP,FSW_D08,type_B_quadratic_nontrivial,finite_square_well_1d,delta_E_quad,all_pairs,15,0.5367659045842027,0.5544710563195613,0.4286840658056553,0.6695274872872659,0,5,-0.03868986076206993,0.0,0,0,{}
TB2_FINITE_SQUARE_WELL_1D_DENSE_SWEEP,FSW_D09,type_B_quadratic_nontrivial,finite_square_well_1d,delta_p,all_pairs,15,0.5761816876873808,0.602768745751039,0.5336615758242947,0.7218006721567843,0,1,0.0,0.845,1,1,{}
